23; 2016.10.31; 3; ФІЛОСОФІЯ(ПР); доц.ДОЛГОЛЕНКОІ.А.
23; 2016.11.01; 3; ОСНОВИНАУКОВИХДОСЛІДЖЕНЬ(ПР); доц.КРИВОРАКА.Д.
23; 2016.11.01; 4; ЕКОНОМІКАПІДПРИЄМСТВА(ПР); доц.СОРОКАЛ.М.
23; 2016.11.01; 5; ГРОШІТАКРЕДИТ(ПР); викл.ЯКОВЕНКОО.І.
23; 2016.11.01; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
23; 2016.11.02; 2; ГРОШІТАКРЕДИТ(ПР); викл.ЯКОВЕНКОО.І.
23; 2016.11.02; 3; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.МЕЛЬНИЧУКІ.П.,ВИКЛ.ДОЛЖЕНКОІ.В.,ВИКЛ.БОЧАРОВАТ.В.
23; 2016.11.02; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; викл.БОЧАРОВАТ.В.
23; 2016.11.02; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
23; 2016.11.02; 7; МАТЕМАТИКАДЛЯЕКОНОМ.; доц.ІВЛІЄВАО.М.
23; 2016.11.03; 2; ГРОШІТАКРЕДИТ(ПР); викл.ЯКОВЕНКОО.І.
23; 2016.11.03; 3; ЕКОНОМІКАПІДПРИЄМСТВА(ПР); доц.СОРОКАЛ.М.
23; 2016.11.03; 4; МЕНЕДЖМЕНТ; викл.МЕТІЛЬТ.К.
23; 2016.11.03; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
23; 2016.11.04; 2; ЕКОНОМІКАПІДПРИЄМСТВА(ПР); доц.СОРОКАЛ.М.
23; 2016.11.04; 3; ОСНОВИНАУКОВИХДОСЛІДЖЕНЬ(ПР); доц.КРИВОРАКА.Д.
23; 2016.11.04; 4; МАТЕМАТИКАДЛЯЕКОНОМ.; доц.ІВЛІЄВАО.М.
23; 2016.11.04; 5; МЕНЕДЖМЕНТ; викл.МЕТІЛЬТ.К.
24; 2016.10.31; 2; ПРАВОВЕРЕГУЛЮВАННЯТУРИСТИЧНОЇДІЯЛЬНОСТІ(ПР); викл.ТОПЧІЙО.Ю.(+4К)
24; 2016.10.31; 3; ФІЛОСОФІЯ(ПР); доц.ДОЛГОЛЕНКОІ.А.
24; 2016.11.01; 2; АНГЛІЙСЬКАМОВА; доц.ЧУФАРЛІЧЕВАА.Ю.
24; 2016.11.01; 3; ОСНОВИНАУКОВИХДОСЛІДЖЕНЬ(ПР); доц.КРИВОРАКА.Д.
24; 2016.11.01; 4; МАРКЕТИНГВТУРИЗМІ(+3К)(ПР); викл.ШЕВЧЕНКО-ПЕРЕПЬОЛКІНАР.І.
24; 2016.11.01; 5; ПРАВОВЕРЕГУЛЮВАННЯТУРИСТИЧНОЇДІЯЛЬНОСТІ; викл.ТОПЧІЙО.Ю.(+4К)
24; 2016.11.01; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
24; 2016.11.02; 3; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.МЕЛЬНИЧУКІ.П.,ВИКЛ.ДОЛЖЕНКОІ.В.,ВИКЛ.БОЧАРОВАТ.В.
24; 2016.11.02; 4; ВИЩАТАПРИКЛАДНАМАТЕМ.; доц.ІВЛІЄВАО.М.
24; 2016.11.02; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; викл.БОЧАРОВАТ.В.
24; 2016.11.02; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
24; 2016.11.02; 7; ГЕОГРАФІЯТУРИЗМУ; доц.ТОДОРОВВ.І.
24; 2016.11.03; 2; АНГЛІЙСЬКАМОВА; доц.ЧУФАРЛІЧЕВАА.Ю.
24; 2016.11.03; 3; ПРАВОВЕРЕГУЛЮВАННЯТУРИСТИЧНОЇДІЯЛЬНОСТІ; викл.ТОПЧІЙО.Ю.(+4К)
24; 2016.11.03; 4; МАРКЕТИНГВТУРИЗМІ(+3К); викл.ШЕВЧЕНКО-ПЕРЕПЬОЛКІНАР.І.
24; 2016.11.03; 5; ІКТ; викл.ДУЩЕНКОО.С.
24; 2016.11.03; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
24; 2016.11.04; 2; МАРКЕТИНГВТУРИЗМІ(+3)(ПР.); викл.ШЕВЧЕНКО-ПЕРЕПЬОЛКІНАР.І.
24; 2016.11.04; 3; ОСНОВИНАУКОВИХДОСЛІДЖЕНЬ(ПР); доц.КРИВОРАКА.Д.
24; 2016.11.04; 4; ІКТ; викл.ДУЩЕНКОО.С.
24; 2016.11.04; 5; ВИЩАТАПРИКЛАДНАМАТЕМ.; доц.ІВЛІЄВАО.М.
25; 2016.10.31; 1; ПРАВОЗНАВСТВОДЛЯДОКУМЕНТОЗНАВЦЯ(ПР.); викл.ТОПЧІЙО.Ю.
25; 2016.10.31; 2; ЗАГАЛЬНЕІКАДРОВЕДІЛОВОДСТВО(ПР); викл.БАШЛИМ.І.
25; 2016.10.31; 3; ФІЛОСОФІЯ(ПР); доц.ДОЛГОЛЕНКОІ.А.
25; 2016.10.31; 4; ДВВ:ОСНОВИПРОГРАМУВАННЯ; викл.ДМИТРІЄВАМ.В.
25; 2016.11.01; 2; ЗАГАЛЬНЕІКАДРОВЕДІЛОВОДСТВО(ЛАБ); викл.БАШЛИМ.І.
25; 2016.11.01; 4; ДВВ:ОСНОВИПРОГРАМУВАННЯ; викл.ДМИТРІЄВАМ.В.
25; 2016.11.01; 5; МЕНЕДЖМЕНТ; викл.ГИЛКАУ.Л.
25; 2016.11.01; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
25; 2016.11.01; 7; ДВВ:ОСНОВИПРОГРАМУВАННЯ; викл.ДМИТРІЄВАМ.В.
25; 2016.11.02; 2; МЕНЕДЖМЕНТ; викл.ГИЛКАУ.Л.
25; 2016.11.02; 3; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; доц.МЕЛЬНИЧУКІ.П.,ВИКЛ.ДОЛЖЕНКОІ.В.,ВИКЛ.БОЧАРОВАТ.В.
25; 2016.11.02; 4; УПРАВЛІНСЬКЕДОК-ВО(ПР); викл.БАШЛИМ.І.
25; 2016.11.02; 5; СПЕЦІАЛЬНАМЕДИЧНАГРУПА; викл.БОЧАРОВАТ.В.
25; 2016.11.02; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
25; 2016.11.03; 1; ДВВ:ОСНОВИПРОГРАМУВАННЯ; викл.ДМИТРІЄВАМ.В.
25; 2016.11.03; 2; ПРАВОЗНАВСТВОДЛЯДОКУМЕНТОЗНАВЦЯ; доц.ПЛАХІНАІ.В.
25; 2016.11.03; 3; УПРАВЛІНСЬКЕДОК-ВО(ПР); викл.БАШЛИМ.І.
25; 2016.11.03; 6; АНГЛІЙСЬКАМОВА(ФАКУЛЬТАТИВ)(АУД.510Г.К); доц.РЯБУШКОС.О.
25; 2016.11.04; 2; ПРАВОЗНАВСТВОДЛЯДОКУМЕНТОЗНАВЦЯ(ПР.); викл.ТОПЧІЙО.Ю.
25; 2016.11.04; 3; ОСНОВИЕКОНОМ.ТЕОРІЇТАПІДПР.ДІЯЛЬН.(+ПСИХОЛ)(ПР.); викл.МЕТІЛЬТ.К.
25; 2016.11.04; 4; ДВВ:ОСНОВИПРОГРАМУВАННЯ; викл.ДМИТРІЄВАМ.В.
25; 2016.11.04; 5; УПРАВЛІНСЬКЕДОК-ВО(ПР); викл.БАШЛИМ.І.
33; 2016.10.31; 1; ЕКОНОМІКО-МАТ.МЕТОДИТАМОДЕЛІ; доц.СОРОКАЛ.М.
33; 2016.10.31; 2; ЕКОНОМ.ПІДПР.ІІ; викл.МЕТІЛЬТ.К.
33; 2016.10.31; 3; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; викл.БОЧАРОВАТ.В.,ВИКЛ.ДОЛЖЕНКОІ.В.
33; 2016.10.31; 4; СТАТИСТИКА; викл.СТЕПАНОВАН.О.
33; 2016.11.01; 3; ЛОГІСТИКА(ПР.); викл.СТЕПАНОВАН.О.
33; 2016.11.01; 4; ФІНАНСИ(ПР); викл.ГИЛКАУ.Л.
33; 2016.11.01; 5; ЕКОНОМІКО-МАТ.МЕТОДИТАМОДЕЛІ; доц.СОРОКАЛ.М.
33; 2016.11.02; 1; СОЦІОЛОГІЯ(ПР); доц.ДОЛГОЛЕНКОІ.А.
33; 2016.11.02; 2; ЕКОНОМ.ПІДПР.ІІ; викл.МЕТІЛЬТ.К.
33; 2016.11.02; 3; КОНТРОЛІНГ; викл.СТЕПАНОВАН.О.
33; 2016.11.02; 4; СТАТИСТИКА; викл.СТЕПАНОВАН.О.
33; 2016.11.03; 2; КОНТРОЛІНГ(ПР); викл.СТЕПАНОВАН.О.
33; 2016.11.03; 3; СТАТИСТИКА; викл.СТЕПАНОВАН.О.
33; 2016.11.03; 4; ФІНАНСИ(ПР); викл.ГИЛКАУ.Л.
33; 2016.11.04; 1; ЛОГІСТИКА(ПР.); викл.СТЕПАНОВАН.О.
33; 2016.11.04; 2; ЕКОНОМ.ПІДПР.ІІ; викл.МЕТІЛЬТ.К.
33; 2016.11.04; 3; ЕКОНОМІКО-МАТ.МЕТОДИТАМОДЕЛІ; доц.СОРОКАЛ.М.
33; 2016.11.04; 4; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; викл.БОЧАРОВАТ.В.,ВИКЛ.ДОЛЖЕНКОІ.В.
34; 2016.10.31; 3; ФІЗИЧНАКУЛЬТУРАТАОСНОВИЗДОРОВ`ЯЛЮДИНИ; викл.БОЧАРОВАТ.В.,ВИКЛ.ДОЛЖЕНКОІ.В.
34; 2016.10.31; 4; ОРГАНІЗАЦІЯТУРИЗМУ(ПР); викл.ТІРОНО.А.
