Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
ВІВТОРОК   13.09;2;Технічна механіка                  доц. Федорова О.В.;Основи алгоритмізації та мови програмування           викл. Дущенко О.С.;Економіка підприємства доц.Сорока Л.М.;Географія туризму                доц. Тодоров В.І.;Загальне і кадрове діловодство            викл.Башли М.І.;;;;;;;;
ВІВТОРОК   13.09;3;Креслення                                                         викл.Тришин В.В.;;Менеджмент                          викл.Метіль Т.К.;Англ. мова доц.Чуфарлічева А.Ю.;Менеджмент викл.ГилкаУ.Л.;;;;;;;;
ВІВТОРОК   13.09;4;;;;;;;;;;;;;
ВІВТОРОК   13.09;5;;;;;;;;;;;;;
СЕРЕДА        14.09;1;Основи економічної теорії та підприємницької  діяльності (+ФУФСН) викл. Метіль Т.К.;Основи економічної теорії та підприємницької  діяльності (+ФУФСН) викл. Метіль Т.К.;Математика для економ.                     доц. Івлієва О.М.;Географія туризму                доц. Тодоров В.І.;Основи економічної теорії та підприємницької  діяльності (+ФУФСН) викл. Метіль Т.К.;;;;;;;;
СЕРЕДА        14.09;2;Технологічний практикум                   доц. Букатова О.М.;Педагогічне оцінювання та моніторинг викл.ЛунгуЛ.В.;Гроші та кредит викл.Яковенко О.І.;ІКТ                         викл.Дущенко О.С.;Управлінське док-во викл.Башли М.І.;;;;;;;;
СЕРЕДА        14.09;3;Фізична культура та основи здоров`я людини доц.Смакула О.І., доц.Мельничук І.П., викл.Долженко І.В.;Фізична культура та основи здоров`я людини доц.Смакула О.І., доц.Мельничук І.П., викл.Долженко І.В.;Фізична культура та основи здоров`я людини доц.Смакула О.І., доц.Мельничук І.П., викл.Долженко І.В.;Фізична культура та основи здоров`я людини доц.Смакула О.І., доц.Мельничук І.П., викл.Долженко І.В.;Фізична культура та основи здоров`я людини доц.Смакула О.І., доц.Мельничук І.П., викл.Долженко І.В.;;;;;;;;
СЕРЕДА        14.09;4;;Основи алгоритмізації та мови програмування          викл. Дущенко О.С.;Економіка підприємства доц.Сорока Л.М.;;;;;;;;;;
СЕРЕДА        14.09;5;Спеціальна    медична     група           викл.Бочарова Т.В.;Спеціальна    медична     група           викл.Бочарова Т.В.;Спеціальна    медична     група           викл.Бочарова Т.В.;Спеціальна    медична     група           викл.Бочарова Т.В.;Спеціальна    медична     група           викл.Бочарова Т.В.;;;;;;;;
ЧЕТВЕР            15.09;1;Технічна механіка                   доц. Федорова О.В.;;Гроші та кредит викл.Яковенко О.І.;ІКТ                          викл.Дущенко О.С.;;;;;;;;;
ЧЕТВЕР            15.09;2;Ф і л о с о ф і я (+ФУФСН) доц.Запорожченко О.В.;Ф і л о с о ф і я (+ФУФСН) доц.Запорожченко О.В.;Ф і л о с о ф і я (+ФУФСН) доц.Запорожченко О.В.;Ф і л о с о ф і я (+ФУФСН) доц.Запорожченко О.В.;Ф і л о с о ф і я (+ФУФСН) доц.Запорожченко О.В.;;;;;;;;
ЧЕТВЕР            15.09;3;Основи економічної теорії та підприємницької  діяльності (+ФУФСН) викл. Метіль Т.К.;Основи економічної теорії та підприємницької  діяльності (+ФУФСН) викл. Метіль Т.К.;Економіка підприємства доц.Сорока Л.М.;;Основи економічної теорії та підприємницької  діяльності (+ФУФСН) викл. Метіль Т.К.;;;;;;;;
